product Id, product Name, Price Per Metre, Sample Price, Delivery Price
437,Hermosa Roses with Bee,430.00,0.00,25.00
438,Narcissus,347.00,0.00,25.00
439,Florilegium,440.00,0.00,25.00
440,Darya in Flower and Fern,417.00,0.00,25.00
441,Darya in Flower and Fern (Linen),441.00,0.00,25.00
442,Four Monkeys,307.00,0.00,25.00
443,Hip  ,150.00,0.00,25.00
444,Vine ,150.00,0.00,25.00
445,Ikat Thread,150.00,0.00,25.00
446,Vine Stripe ,150.00,0.00,25.00
447,Stitch,150.00,0.00,25.00
448,Ikat,150.00,0.00,25.00
449,Leaf Star,150.00,0.00,25.00
450,Cirip,199.00,0.00,25.00
451,Floral Vine ,150.00,0.00,25.00
452,Hydrangea,150.00,0.00,25.00
453,Block Print,150.00,0.00,25.00
454,Spotty Plant,150.00,0.00,25.00
455,Block Print  ,150.00,0.00,25.00
456,Spotty Plant,150.00,0.00,25.00
457,Round Ikat,199.00,0.00,25.00
458,Green Ikat,199.00,0.00,25.00
459,Vine ,150.00,0.00,25.00
460,Block Print,150.00,0.00,25.00
461,Waves ,150.00,0.00,25.00
462,Coffee Ikat,199.00,0.00,25.00
463,Vine (Square),150.00,0.00,25.00
464,Ikat Thread,150.00,0.00,25.00
465,Block Print,150.00,0.00,25.00
466,Spotty Plant ,150.00,0.00,25.00
467,Hip Silk Ikat,199.00,0.00,25.00
468,Hip 2 Silk Ikat,199.00,0.00,25.00
469,Asmir Silk Ikat,199.00,0.00,25.00
470,Block Print,150.00,0.00,25.00
471,Cyran Silk Ikat,199.00,0.00,25.00
472,Paisley Blue,339.00,0.00,20.00
473,Hollyhock,339.00,0.00,20.00
474,Dianthus,339.00,0.00,20.00
475,Angelica,339.00,0.00,20.00
476,Amandine,299.00,0.00,20.00
477,Oriental Birds,229.00,0.00,20.00
478,Zoo,289.00,0.00,20.00
480,Blue Versa,404.00,9.00,30.00
485,Indigo Brook,0.00,0.00,0.00
486,Indigo Lolita,0.00,0.00,0.00
487,Blue Cabana Stripe,0.00,0.00,0.00
488,Turquoise Mandala,0.00,0.00,0.00
489,Black and White Zig Zag,0.00,0.00,0.00
490,Versa Aqua,0.00,0.00,0.00
491,Versa Blues,0.00,0.00,0.00
492,Navy and Red Jollie,0.00,0.00,0.00
493,Black and White Versa,0.00,0.00,0.00
494,Tomato Song,0.00,0.00,0.00
495,Blush Pink Mandala,0.00,0.00,0.00
496,Pink and Orange Brooke,0.00,0.00,0.00
497,Brown and Pink Kingsley,0.00,0.00,0.00
498,Brown and Pink Nadi,0.00,0.00,0.00
499,Red/Blue Versa,0.00,0.00,0.00
500,Chino Dippy,0.00,0.00,0.00
501,Lilac Ikat,0.00,0.00,0.00
502,Lavender and Olive Westley,0.00,0.00,0.00
503,Steel Versa,0.00,0.00,0.00
504,Indigo Samosa,0.00,0.00,0.00
505,Blue and Black Dippy,0.00,0.00,0.00
506,Versa Brown,0.00,0.00,0.00
507,Blue Muna,0.00,0.00,0.00
508,Brown and Blue Nadi,0.00,0.00,0.00
509,Green Mandala,0.00,0.00,0.00
510,Green Brooke,0.00,0.00,0.00
511,Versa Green,0.00,0.00,0.00
512,Green Zig Zag,0.00,0.00,0.00
513,Goldenrod Mandala,0.00,0.00,0.00
514,Tutti Frutti Versa,0.00,0.00,0.00
515,Camel Zig Zag,0.00,0.00,0.00
516,Camel Brooke,0.00,0.00,0.00
517,Cornstooks,214.00,0.00,30.00
518,Diamond,214.00,0.00,30.00
519,Small Damask,207.00,0.00,30.00
520,Small Diamond,207.00,0.00,30.00
521,Twist,207.00,0.00,30.00
522,Beasties,187.00,0.00,30.00
523,Damask,187.00,0.00,30.00
524,Oakleaves,187.00,0.00,30.00
525,Persian Leaf,187.00,0.00,30.00
526,Willow,187.00,0.00,30.00
527,Rossmore,195.00,0.00,30.00
528,Briar Rose,235.00,0.00,30.00
529,Lancaster,213.00,0.00,30.00
530,Lizzie,213.00,0.00,30.00
531,Moire Stripe,213.00,0.00,30.00
532,Squirrel Leaf,213.00,0.00,30.00
533,Templeton Damask,213.00,0.00,30.00
534,Templeton Garden,213.00,0.00,30.00
535,Templeton Paisley,213.00,0.00,30.00
536,Templeton Stripe,213.00,0.00,30.00
537,Feuillage,285.00,0.00,30.00
538,Leopard,285.00,0.00,30.00
539,Rayure Castiglione,241.00,0.00,30.00
541,Arcady,476.00,0.00,30.00
542,Archway House,371.00,0.00,30.00
543,Bedford Stripe (Machine),138.00,0.00,30.00
544,Bedford Stripe (Digital),371.00,0.00,30.00
545,Bird & Blossom,371.00,0.00,30.00
546,Bloomsbury Square (Machine),130.00,0.00,30.00
547,Bloomsbury Square(Digital),371.00,0.00,30.00
548,Chapel Street Rose,371.00,0.00,30.00
549,Charlecote Strapwork,476.00,0.00,30.00
550,Covent Garden Floral,401.00,0.00,30.00
551,Dashwood,522.00,0.00,30.00
552,Empire Stripe (Digital),371.00,0.00,30.00
553,Empire Stripe - machine printed,130.00,0.00,30.00
554,Frognal ,522.00,0.00,30.00
555,Frognal Trellis Only,476.00,0.00,30.00
556,Frognal Rosette Only,476.00,0.00,30.00
557,French Stripe,371.00,0.00,30.00
558,Fuschia St James,476.00,0.00,30.00
559,Fynedon Gothic (Hand Block),476.00,0.00,30.00
560,Fynedon Gothic (Digital),371.00,0.00,30.00
561,Green Park (Machine Printed),130.00,0.00,30.00
562,Green Park (Digitally Printed),371.00,0.00,30.00
563,Imperial Bee,476.00,0.00,30.00
564,Jasmine (Hand Blocked),522.00,0.00,30.00
565,Jasmine (Digital Print),371.00,0.00,30.00
566,Lambeth Saracen,371.00,0.00,30.00
567,Peacock,371.00,0.00,30.00
568,Twickenham - digitally printed,371.00,0.00,30.00
569,Uppark Tapestry Room,371.00,0.00,30.00
570,Uppark Trellis,371.00,0.00,30.00
571,Uppark Yellow Bedroom,371.00,0.00,30.00
572,Chestnut,284.00,0.00,30.00
573,Blackberry,284.00,0.00,30.00
574,Hayfield,284.00,0.00,30.00
575,Marrow,284.00,0.00,30.00
576,Italian Garden,677.00,0.00,30.00
577,Windmill,677.00,0.00,30.00
578,Ashdown,240.00,0.00,30.00
579,Bradenham,211.00,0.00,30.00
580,Celestria,211.00,0.00,30.00
581,Clara Stripe,211.00,0.00,30.00
582,Donatello,211.00,0.00,30.00
583,Firle,211.00,0.00,30.00
584,Furnvill,211.00,0.00,30.00
585,Katie,211.00,0.00,30.00
586,Lodge,211.00,0.00,30.00
587,Sherwood,211.00,0.00,30.00
588,Snowflake,211.00,0.00,30.00
589,Toile des Lapins,225.00,0.00,30.00
590,Toile de Rosa,220.00,0.00,30.00
591,Acton,218.00,0.00,0.00
592,Epsom,218.00,0.00,0.00
593,Herringbone,218.00,0.00,0.00
594,Kew Baltic,218.00,0.00,0.00
595,Kew  ,218.00,0.00,0.00
596,Oxford Stripe,218.00,0.00,0.00
597,Salesbury,218.00,0.00,0.00
598,Ticking 01,218.00,0.00,0.00
599,Wicklewood,0.00,0.00,0.00
601,Donovan's Chinese Lady,259.00,6.00,30.00
604,Coppelia,285.00,0.00,0.00
613,Benjelloun,285.00,6.00,30.00
607,Branches de Pin,285.00,0.00,0.00
